reg_id,type,Q.Num,Q,A
PERPRES_2015_9,Q6,2,Apa tugas Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan?,"menyelenggarakan koordinasi, sinkronisasi, dan pengendalian urusan Kementerian dalam penyelenggaraan pemerintahan di bidang pembangunan manusia dan kebudayaan."
PERPRES_2015_9,Q6,3,Apa tugas Deputi Bidang Koordinasi Penanggulangan Kemiskinan dan Perlindungan Sosial?,"menyelenggarakan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang penanggulangan kemiskinan dan perlindungan sosial."
PERPRES_2015_9,Q6,4,Apa yang dilakukan Deputi Bidang Koordinasi Perlindungan Perempuan dan Anak dalam melaksanakan tugas?,"menyelenggarakan
1. koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang perlindungan perempuan dan anak;
2. pengendalian pelaksanaan kebijakan Kementerian/ Lembaga yang terkait dengan isu di bidang perlindungan perempuan dan anak;
3. koordinasi dan sinkronisasi perumusan kebijakan di bidang kesetaraan dan keadilan gender;
4. koordinasi dan sinkronisasi perumusan kebijakan di bidang pengarusutamaan gender;
5. koordinasi dan sinkronisasi perumusan kebijakan di bidang perlindungan dan pemberdayaan perempuan;
6. koordinasi dan sinkronisasi perumusan kebijakan di bidang perlindungan dan pemberdayaan anak;
7. pemantauan, analisis, evaluasi, dan pelaporan di bidang pemberdayaan dan perlindungan perempuan dan anak; dan
8. pelaksanaan fungsi lain yang diberikan oleh Menteri Koordinator."
PERPRES_2015_9,Q6,5,Apa yang harus dilakukan Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan?,"Menyusun analisa jabatan, peta jabatan, analisa beban kerja, dan uraian tugas terhadap seluruh jabatan di lingkungan Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan."
UU_1983_8,Q6,1,berapakah tarif pajak pertambahan nilai?,sepuluh persen
UU_1983_8,Q6,2,apa sanksi bagi pengusaha kena pajak yang tidak membuat faktur pajak?,denda dua persen dari dasar pengenaan pajak
UU_1983_8,Q6,3,apakah badan yang tidak dikukuhkan menjadi pengusaha kena pajak dapat membuat faktu pajak?,tidak
UU_1983_8,Q6,4,kepada siapa pengusaha kena pajak melaporkan penghitungan pajak,direktorat jenderal pajak
UU_1983_8,Q6,5,kapan kelebihan pembayaran pajak atas barang yang diekspor dikembalikan?,dalam waktu satu bulan
UU_1994_11,Q6,1,Berapa kali pajak penjualan atas barang merah dikenakan?,hanya satu kali pada waktu penyerahan barang kena pajak yang tergolong mewah
UU_1994_11,Q6,2,berapakah tarif pajak pertambahan nilai atas ekspor barang kena pajak?,nol persen
UU_1994_11,Q6,3,"siapa yang menetapkan tata cara pemungutan, penyetoran, dan pelaporan pajak yang dilakukan oleh pemungut pajak pertambahan nilai?",Menteri keuangan
UU_1994_11,Q6,4,bagaimana cara menghitung pajak pertambahan nilai yang terhutang?,dengan mengalikan tarif dengan dasar pengenaan pajak
UU_1994_11,Q6,5,siapa yang menetapkan tata cara pembetulan faktur pajak?,direktur jenderal pajak
UU_2000_18,Q6,1,apakah jasa pelayanan kesehatan medis dikenai pajak pertambahan nilai?,tidak
UU_2000_18,Q6,2,siapa yang wajib membuat faktur pajak untuk setiap barang kena pajak?,pengusaha kena pajak
UU_2000_18,Q6,3,berapa tempat pajak terutang yang dapat ditetapkan Direktorat Jenderal Pajak?,satu tempat atau lebih
UU_2000_18,Q6,4,apakah pengusaha kena pajak dapat meminta kembali pajak penjualan atas barang mewah yang telah dibayar?,ya
UU_2000_18,Q6,5,apakah emas dikenakan pajak pertambahan nilai?,tidak
UU_2009_42,Q6,1,apa saja yang termasuk dasar pengenaan pajak?,nilai ekspor atau penggantian atau nilai lain atau nilai impor atau harga jual yang dipakai sebagai dasar untuk menghitung pajak yang terutang
UU_2009_42,Q6,2,Kapan waktu terutangnya pajak terjadi?,paling rendah sepuluh persen dan paling tinggi dua ratus persen
UU_2009_42,Q6,3,apa yang harus dipenuhi oleh faktur pajak?,persyaratan formal dan material
UU_2009_42,Q6,4,kapan faktur pajak harus dibuat?,paling lama pada akhir bulan penyerahan
UU_2009_42,Q6,5,siapa yang memungut pajak dalam hal impor?,direktorat jenderal pajak bea dan cukai
PP_2013_47,Q6,1,apakah impor barang yang dilakukan pejabat badan internasional dikenakan pajak?,tidak
PP_2013_47,Q6,2,apakah dasar pembebasan pajak pertambahan nilai kepada perwakilan negara asing?,asas timbal balik
PP_2013_47,Q6,3,siapakah yang dapat memberikan pembebasan pajak pertambahan nilai?,Menteri keuangan
PP_2013_47,Q6,4,pejabat badan internasional seperti apakah yang diberikan pembebasan pajak pertambahan nilai?,pejabat badan internasional yang telah mendapatkan rekomendasi dari menteri sekretaris negara
PP_2013_47,Q6,5,siapa yang dapat menerbitkan surat pembebasan pajak pertambahan nilai?,Menteri keuangan
PP_2015_15,Q6,1,apa fasilitas yang diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?,Pajak Pertambahan Nilai tidak dipungut
PP_2015_15,Q6,2,apa saja bahan bakar minyak yang diberikan fasilitas pajak pertambahan nilai tidak dipungut?,marine fuel oil 380 dan marine gas oil
PP_2015_15,Q6,3,apa syarat fasilitas pajak pertambahan nilai tidak dipungut dapat diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?,pengusaha kena pajak yang melakukan penyerahan bahan bakar minyak memiliki fasilitas penyimpanan dan pengolahan bahan bakar minyak di dalam negeri
PP_2015_15,Q6,4,apa yang harus dilakukan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?,menerbitkan faktur pajak
PP_2015_15,Q6,5,apa yang harus dilampitkan dalam faktur pajak yang diterbitkan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?,surat persetujuan berlayar
UU_2008_37,Q6,1,Di manakah ombudsman berkedudukan?,Ibu kota negara Republik Indonesia
UU_2008_37,Q6,2,Apakah Ombudsman dapat mencampuri kebebasan hakim dalam memberikan putusan?,Tidak
UU_2008_37,Q6,3,berapa anggota yang dimiliki ombudsman?,"1. satu orang Ketua merangkap anggota;
2. satu orang Wakil Ketua merangkap anggota; dan
3. tujuh orang anggota."
UU_2008_37,Q6,4,berapa lama ketua ombudsman memegang jabatan?,lima tahun
UU_2008_37,Q6,5,siapa yang berhak menyampaikan laporan kepada ombudsman?,penduduk atau setiap warga negara indonesia
UU_2009_25,Q6,1,terdiri dari apa sajakah ruang lingkup pelayanan publik,"pelayanan barang publik, pelayanan jasa publik, dan pelayanan administratif"
UU_2009_25,Q6,2,apa yang diperlukan untuk menjamin kelancaran penyelenggaran pelayanan publik?,pembina dan penanggung jawab
UU_2009_25,Q6,3,siapa yang mengelola sistem informasi pelayanan publik?,menteri
UU_2009_25,Q6,4,siapa yang bertanggung jawab atas biaya/tarif pelayanan publik?,negara dan/atau masyarakat
UU_2009_25,Q6,5,siapa yang melakukan pengawasan penyelenggaraan pelayanan publik?,pengawas internal dan pengawas eksternal
PP_2012_96,Q6,1,apakah yang dapat dijadikan acuan penilaian penyelenggaraan pelayanan publik?,standar pelayanan
PP_2012_96,Q6,2,siapakah yang menyusun standar pelayanan publik?,penyelenggara pelayanan publik
PP_2012_96,Q6,3,apakah penyelenggara pelayanan publik wajib mengikutsertakan masyarakat dalam penyelenggaraan pelayanan publik?,ya
PP_2012_96,Q6,4,siapa yang melakukan pembinaan dan pengawasan umum pelayanan publik di daerah?,menteri yang menyelenggarakan urusan pemerintahan di bidang dalam negeri
PP_2012_96,Q6,5,apa sanksi bagi penyelenggara pelayanan publik melanggar ketentuan?,"dikenai sanksi pembebasan dari jabatan;
dikenai sanksi pemberhentian dengan hormat atas permintaan sendiri;
dikenai sanksi penurunan gaji sebesar satu kali ."
PERMEN_HUB_2017_19,Q6,1,siapa yang menetapkan standar pelayanan publik dilingkungan kementerian perhubungan yang telah disepakati?,pimpinan unit penyelenggara pelayanan publik
PERMEN_HUB_2017_19,Q6,2,kepada siapa standar pelayanan publik di lingkungan kementerian perhubungan yang telah ditetapkan harus dilaporkan?,masing-masing pimpinan unit kerja eselon I
PERMEN_HUB_2017_19,Q6,3,apa acuan dari penerapan pelayanan publik dilingkungan kementerian perhubungan?,standar pelayanan yang telah ditetapkan
PERMEN_HUB_2017_19,Q6,4,kemanakah hasil pemantauan dan evaluasi standar pelayanan publik harus dilaporkan?,kepada Menteri Perhubungan melalui Sekretaris Jenderal Kementerian Perhubungan
PERMEN_HUB_2017_19,Q6,5,apa yang harus dilakukan untuk menerapkan standar pelayanan di lingkungan kementerian perhubungan?,menetapkan maklumat pelayanan
PERMEN_PANRB_2017_14,Q6,1,kapan survei kepuasan masyarakat harus dilakukan oleh penyelenggara pelayanan publik?,secara berkala minimal satu kali setahun
PERMEN_PANRB_2017_14,Q6,2,apakah penyelenggara pelayanan publik wajib mempublikasikan hasil survei kepuasan masyarakat?,ya
PERMEN_PANRB_2017_14,Q6,3,kemanakah hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik dilaporkan?,menteri pendayagunaan aparatur negara dan reformasi birokrasi
PERMEN_PANRB_2017_14,Q6,4,apa kegunaaan hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik?,sebagai dasar penyusunan indeks kepuasan masyarakat secara nasional oleh Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
PERMEN_PANRB_2017_14,Q6,5,apakah hasil survei kepuasan masyarakat dari unit pelayanan publik wajib dievaluasi?,ya
PERATURAN_BATAN_2017_13,Q6,1,siapa yang melaksanakan penyelenggaraan pelayanan publik?,unit kerja
PERATURAN_BATAN_2017_13,Q6,2,apa yang harus disiapkan sebelum melakukan penyusunan standar pelayanan publik?,rancangan standar pelayanan publik
PERATURAN_BATAN_2017_13,Q6,3,apa yang diperhatikan dalam menyusun standar pelayanan publik?,"kemampuan, kebutuhan masyarakat, dan kondisi lingkungan"
PERATURAN_BATAN_2017_13,Q6,4,apakah masyarakat perlu diikutsertakan dalam pembahasan rancangan standar pelayanan publik?,ya
PERATURAN_BATAN_2017_13,Q6,5,kapan peninjauan ulang standar pelayanan publik dilakukan?,setiap tiga tahun
UU_2012_12,Q6,1,siapa yang bertanggung jawab atas penyelenggaraan pendidikan tinggi?,menteri
UU_2012_12,Q6,2,apa saja rumpun ilmu pengetahuan dan teknologi?,"rumpun ilmu agama, rumpun ilmu humaniora, rumpun ilmu sosial, rumpun ilmu alam, rumpun ilmu formal, dan rumpun ilmu terapan"
UU_2012_12,Q6,3,"siapa yang bertanggung jawab atas pembinaan, koordinasi, dan pengawasan pendidikan vokasi?",kementerian
UU_2012_12,Q6,4,siapa yang dapat mendirikan pendidikan profesi?,"Perguruan Tinggi dan bekerja sama dengan
Kementerian, Kementerian lain, LPNK, dan/atau organisasi profesi yang bertanggung jawab atas mutu layanan profesi"
UU_2012_12,Q6,5,bagaimanakah kualifikasi dosen yang harus dimiliki  program magister?,dosen yang berkualifikasi akademik lulusan program doktor atau yang sederajat
PP_2015_26,Q6,1,dari manakah sumber pendanaan PTN Badan Hukum?,anggaran pendapatan dan belanja negara dan selain anggaran pendapatan dan belanja negara
PP_2015_26,Q6,2,dapat digunakan untuk apakah Bantuan Pendanaan PTN Badan Hukum?,"mendanai biaya operasional, biaya dosen, biaya tenaga kependidikan, biaya investasi, dan biaya pengembangan"
PP_2015_26,Q6,3,siapa yang menetapkan Satuan Standar Biaya PTN Badan Hukum?,menteri
PP_2015_26,Q6,4,apa dasar dalam menetapkan tarif biaya pendidikan dari PTN Badan Hukum?,pedoman teknis penetapan tarif yang ditetapkan oleh Menteri
PP_2015_26,Q6,5,apakah PTN Badan hukum diberikan hak pengelolaan kekayaan negara?,ya
PERMEN_RISTEKDIKTI_2016_100,Q6,1,Berapa jumlah program diploma yang dapat dimiliki Universitas?,paling banyak sepuluh persen dari jumlah program sarjana
PERMEN_RISTEKDIKTI_2016_100,Q6,2,Siapa yang menetapkan lokasi PTS yang didirikan melalui kerja sama?,menteri
PERMEN_RISTEKDIKTI_2016_100,Q6,3,Siapa yang melakukan pembubaran PTN dan pencabutan izin PTS?,menteri
PERMEN_RISTEKDIKTI_2016_100,Q6,4,Bagaimana jika perguruan tinggi dikenai sanksi administratif ringan berupa peringatan tertulis?,menghentikan pelanggaran dan melaksanakan kewajiban paling lama enam bulan sejak ditetapkan
PERMEN_RISTEKDIKTI_2016_100,Q6,5,siapa yang melakukan pemeriksaan dugaan pelanggaran perguruan tinggi yang dikenai sanksi administratif sedang?,direktur jenderal pendidikan dikti
PERMEN_KEU_2017_108,Q6,1,Kepada siapa usulan penetapan Nilai Kekayaan Awal PTN Badan Hukum disampaikan?,menteri keuangan republik indonesia
PERMEN_KEU_2017_108,Q6,2,apa pedoman pelaksanaan likuidasi entitas akuntansi satker PTN?,ketentuan Peraturan Menteri yang mengatur mengenai pelaksanaan likuidasi entitas akuntansi pada kementerian negara/lembaga
PERMEN_KEU_2017_108,Q6,3,"siapa yang melaksanakan pembinaan, monitoring, dan evaluasi pelaksanaan likuidasi entitas satker PTN?",Direktorat Jenderal Perbendaharaan
PERMEN_KEU_2017_108,Q6,4,siapa yang menyepakati dokumen berita acara kesepakatan nilai kekayaan awal PTN Badan Hukum?,antara Kementerian Teknis dengan PTN Badan Hukum
PERMEN_KEU_2017_108,Q6,5,Siapa yang ditugaskan untuk melakukan penelitian terhadap usulan penetapan Nilai Kekayaan Awal PTN Badan Hukum?,Direktur Jenderal Kekayaan Negara
PERMEN_RISTEKDIKTI_2017_90,Q6,1,Kapan pelaksanaan SNMPTN dapat dilakukan?,sebelum pelaksanaan Ujian Akhir Sekolah atau Ujian Nasional pada pendidikan menengah
PERMEN_RISTEKDIKTI_2017_90,Q6,2,Berapa kuota setiap program studi untuk calon mahasiswa baru yang mengikuti SBMPTN?,paling sedikit 30 persen dari daya tampung program studi
PERMEN_RISTEKDIKTI_2017_90,Q6,3,Siapa yang menetapkan daya tampung setiap program studi?,dengan keputusan rektor
PERMEN_RISTEKDIKTI_2017_90,Q6,4,Apakah PTN dapat menerima calon mahasiswa baru dengan prestasi non akademik?,ya
PERMEN_RISTEKDIKTI_2017_90,Q6,5,Kemana pembiayaan pelaksanaan SNMPTN dibebankan?,anggaran kementerian
PP_2014_70,Q6,1,"Apa unsur yang harus dipenuhi dalam menyelenggarakan Pendidikan Nonformal di bidang Meteorologi, Klimatologi dan Geofisika?","1. Pembentukan karakter;
2. Peningkatan ilmu pengetahuan; dan
3. Peningkatan keterampilan."
PP_2014_70,Q6,2,"Apakah penyelenggaraan Pendidikan Nonformal di bidang Meteorologi, Klimatologi, dan Geofisika harus bekerja sama dengan instansi pemerintah yang bertugas dan bertanggung jawab di bidang Meteorologi, Klimatologi, dan Geofisika?",ya
PP_2014_70,Q6,3,"Apa yang diberikan kepada sumber daya manusia yang telah mengikuti Pendidikan Nonformal bidang Meteorologi, Klimatologi, dan Geofisika?",sertifikat
PP_2014_70,Q6,4,"Berapa lama waktu berlakunya sertifikat kompetensi di bidang Meteorologi, Klimatologi, dan Geofisika?",paling lama lima tahun
PP_2014_70,Q6,5,"Apa saja yang meliputi pembinaan sumber daya manusia di bidang Meteorologi, Klimatologi, dan Geofisika?","1. pengaturan;
2. pengendalian; dan
3. pengawasan."
PERMEN_HUT_2014_91,Q6,1,Apa syarat LP-HHBK dapat disahkan,LP-HHBK sebelumnya telah dibayar lunas psdh
PERMEN_HUT_2014_91,Q6,2,Apa saja dokumen angkutan HHBK?,"1. Faktur angkutan hasil hutan bukan kayu;
2. Nota angukutan"
PERMEN_HUT_2014_91,Q6,3,Siapa yang wajib menyampaikan rekapitulasi laporan bulanan pelaksanaan penatausahaan hasil hutan bukan kayu?,"Pemegang izin, pengelola hutan dan pelaku usaha"
PERMEN_HUT_2014_91,Q6,4,Siapa yang melaksanakan pengawasan dan pengendalian terhadap pelaksanaan penatausahaan hasil hutan bukan kayu?,Dinas provinsi; dinas kabupaten/kota
PERMEN_HUT_2014_91,Q6,5,Apa saja yang termasuk kegiatan penatausahaan hasil hutan bukan kayu?,"1. Pembuatan LP-HHBK berdasarkan hasil pengukuran dan/atau pengujian hasil hutan bukan kayu;
2. Pembuatan LP-HHBK sesuai dengan fisik hasil hutan baik jenis, jumlah atau volume/berat;
3. Melaporkan LP-HHBK yang telah disahkan sesuai tata waktu;
4. Membuat LP-HHBK atas hasil hutan bukan kayu yang sudah dipungut/dikumpulkan;
5. Memuat dan/atau membongkar hasil hutan bukan kayu di tempat yang sesuai dengan dokumen FA-HHBK;
6. Melengkapi pengangkutan hasil hutan bukan kayu dengan FA-HHBK yang masih berlaku."
PERMEN_HUT_2014_79,Q6,1,Apa tujuan pemasukan satwa liar ke taman buru dan kebun buru?,Mendukung penyelenggaraan kegiatan perburuan
PERMEN_HUT_2014_79,Q6,2,Siapa yang melakukan pemasukan satwa liar ke taman buru?,"UPT KSDA setempat;
pemegang izin pengusahaan taman buru"
PERMEN_HUT_2014_79,Q6,3,Siapa yang melakukan pemasukan satwa liar dari luar negeri ke taman buru?,Pemegang izin pengusahaan taman buru
PERMEN_HUT_2014_79,Q6,4,Apakah pemegang izin dapat mengangkut satwa liar ke taman buru,ya
PERMEN_HUT_2014_79,Q6,5,Apa yang harus dilengkapi saat mengangkut satwa liar ke kebun buru,Izin pemasukan
UU_2006_16,Q6,1,"Apa asas penyelenggaraan penyuluhan pertanian, perikanan, kehutanan.","demokrasi, manfaat, kesetaraan, keterpaduan, keseimbangan, keterbukaan, kerja sama, partisipatif, kemitraan, berkelanjutan, perkeadilan, pemerataan, dan bertanggung gugat"
UU_2006_16,Q6,2,"Apakah fungsi sistem penyuluhan pertanian, perikanan, dan kehutanan?","1. memfasilitasi proses pembelajaran pelaku utama dan pelaku usaha;
2. mengupayakan kemudahan akses pelaku utama dan pelaku usaha ke sumber informasi, teknologi, dan sumber daya lainnya agar mereka dapat mengembangkan usahanya; 
3. meningkatkan kemampuan kepemimpinan, manajerial, dan kewirausahaan pelaku utama dan pelaku usaha; 
4. membantu pelaku utama dan pelaku usaha dalam menumbuhkembangkan organisasinya menjadi organisasi ekonomi yang berdaya saing tinggi, produktif, menerapkan tata kelola berusaha yang baik, dan berkelanjutan;
5. membantu menganalisis dan memecahkan masalah serta merespon peluang dan tantangan yang dihadapi pelaku utama dan pelaku usaha dalam mengelola usaha;
6. menumbuhkan kesadaran pelaku utama dan pelaku usaha terhadap kelestarian fungsi lingkungan; dan
7. melembagakan nilai-nilai budaya pembangunan pertanian, perikanan, dan kehutanan yang maju dan modern bagi pelaku utama secara berkelanjutan."
UU_2006_16,Q6,3,"Siapa yang dapat melakukan kegiatan penyuluhan pertanian, perikanan, kehutanan?","penyuluh PNS, penyuluh swasta, dan/atau penyuluh swadaya"
UU_2006_16,Q6,4,Apa pendekatan yang digunakan dalam melakukan penyuluhan?,pendekatan partisipatif melalui mekanisme kerja dan metode yang disesuaikan dengan kebutuhan serta kondisi pelaku utama dan pelaku usaha.
UU_2006_16,Q6,5,"Apakah orang yang melakukan penyuluhan pertanian, perikanan, kehutanan yang menimbulkan kerugian sosial ekonomi dapat dipidana?",Ya
PERMEN_HUT_2014_59,Q6,1,Siapa yang menyelenggarakan sistem informasi diklat kehutanan?,"1. Pusat Pendidikan dan Pelatihan Kehutanan;
2. Balai Diklat Kehutanan;
3. Sekolah Menengah Kejuruan Kehutanan Negeri."
PERMEN_HUT_2014_59,Q6,2,Apa yang wajib dilakukan dalam menyelenggaran sistem informasi diklat kehutanan?,"1. menyediakan, memberikan, dan/atau menerbitkan informasi diklat kehutanan yang sesuai dengan kewenangannya kepada pengguna
2. menyediakan sarana dan prasarana pendukung penyelenggaraan sistem informasi diklat kehutanan;
3. menetapkan petugas pengelola;
4. menyediakan anggaran penyelenggaraan sistem informasi diklat Kehutanan."
PERMEN_HUT_2014_59,Q6,3,Kepada siapa penyelengara yang menyelenggarakan sistem informasi diklat kehutanan bertanggung jawab?,Kepala Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Kehutanan
PERMEN_HUT_2014_59,Q6,4,Bagaimana cara memperoleh Pelayanan informasi diklat?,"melalui:
1. permohonan;
2. situs (website) Pusat Diklat Kehutanan dan situs (website) Badan Penyuluhan Dan Pengembangan SDM Kehutanan;
3. situs (website) Kementerian Kehutanan."
PERMEN_HUT_2014_59,Q6,5,Kapan Pusat Pendidikan dan Pelatihan Kehutanan melaksanakan evaluasi pelaksanaan layanan informasi diklat?,Setiap semester
PERMEN_HUT_2014_25,Q6,1,Siapa yang membentuk panitia tata batas Kawasan hutan?,Direktur Jenderal atas nama menteri
PERMEN_HUT_2014_25,Q6,2,Apa tugas panitia tata batas Kawasan hutan?,"1. menilai rencana trayek batas;
2. menilai hasil identifikasi dan inventarisasi hak-hak pihak ketiga;
3. menilai peta hasil tata batas.
4. menilai peta kerja tata batas;"
PERMEN_HUT_2014_25,Q6,3,Berapa orang yang harus menandatangani berita acara tata batas dan peta tata batas agar dokumen tata batas agar dapat diproses?,tiga orang
PERMEN_HUT_2014_25,Q6,4,Kapan Direktur jenderal dokumen tata batas,lima belas hari kerja sejak diterimanya dokumen tata batas
PERMEN_HUT_2014_25,Q6,5,Apa saja unsur Anggota Panitia Tata Batas Kawasan Hutan?,"1. Dinas Kabupaten/Kota yang membidangi kehutanan sebagai sekretaris merangkap anggota untuk kawasan hutan produksi dan kawasan hutan lindung, atau Unit Pelaksana Teknis yang menangani urusan kawasan hutan konservasi sebagai sekretaris merangkap anggota untuk kawasan hutan konservasi;
2. Dinas Provinsi yang membidangi kehutanan;
3. Badan Perencanaan Pembangunan Daerah Kabupaten/Kota;
4. Kantor Pertanahan Kabupaten/Kota;
5. Unit Pelaksana Teknis lingkup Kementerian Kehutanan terkait;
6. Perum Perhutani apabila kawasan hutan merupakan wilayah kerja Perum Perhutani; dan
7. Camat setempat."
PERMEN_HUT_2014_26,Q6,1,Siapa yang melaksanakan evaluasi AKIP unit kerja di lingkungnan kementerian kehutanan?,Inspektorat jenderal
PERMEN_HUT_2014_26,Q6,2,Bagaimana hasil evaluasi AKIP dituangkan?,Dalam bentuk laporan hasil evaluasi
PERMEN_HUT_2014_26,Q6,3,Dimana rencana kegiatan evaluasi akip dituangkan?,Program kerja pengawasan tahunan
PERMEN_HUT_2014_26,Q6,4,Kepada siapa laporan hasil evaluasi AKIP disampaikan?,Pimpinan Instansi yang dievaluasi dengan tembusan kepada Menteri Kehutanan
PERMEN_HUT_2014_26,Q6,5,Apa saja yang meliputi evaluasi AKIP?,"1. metodologi evaluasi;
2. teknik evaluasi dan teknik analisis data;
3. kertas kerja evaluasi; dan
4. pelaksanaan evaluasi."
